ID	NAME	EQUATION	GENE ASSOCIATION	subsystem_unique_@2021_12
r_2739	"MLCL (1-16:1, 2-16:1, 4-16:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-16:1, 2-16:1, 4-16:1)[mm] + phosphatidylcholine (1-18:1, 2-18:1)[mm] <=> cardiolipin (1-16:1, 2-16:1, 3-18:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (18:1)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2740	"MLCL (1-16:1, 2-16:1, 4-18:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-16:1, 2-16:1, 4-18:1)[mm] + phosphatidylcholine (1-16:0, 2-16:1)[mm] <=> cardiolipin (1-16:1, 2-16:1, 3-16:1, 4-18:1)[mm] + 1-acylglycerophosphocholine (16:0)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2741	"MLCL (1-16:1, 2-16:1, 4-18:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-16:1, 2-16:1, 4-18:1)[mm] + phosphatidylcholine (1-16:1, 2-16:1)[mm] <=> cardiolipin (1-16:1, 2-16:1, 3-16:1, 4-18:1)[mm] + 1-acylglycerophosphocholine (16:1)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2742	"MLCL (1-16:1, 2-16:1, 4-18:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-16:1, 2-16:1, 4-18:1)[mm] + phosphatidylcholine (1-18:0, 2-16:1)[mm] <=> cardiolipin (1-16:1, 2-16:1, 3-16:1, 4-18:1)[mm] + 1-acylglycerophosphocholine (18:0)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2743	"MLCL (1-16:1, 2-16:1, 4-18:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-16:1, 2-16:1, 4-18:1)[mm] + phosphatidylcholine (1-18:1, 2-16:1)[mm] <=> cardiolipin (1-16:1, 2-16:1, 3-16:1, 4-18:1)[mm] + 1-acylglycerophosphocholine (18:1)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2744	"MLCL (1-16:1, 2-16:1, 4-18:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-16:1, 2-16:1, 4-18:1)[mm] + phosphatidylcholine (1-16:0, 2-18:1)[mm] <=> 1-acylglycerophosphocholine (16:0)[mm] + cardiolipin (1-16:1, 2-16:1, 3-18:1, 4-18:1)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2745	"MLCL (1-16:1, 2-16:1, 4-18:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-16:1, 2-16:1, 4-18:1)[mm] + phosphatidylcholine (1-16:1, 2-18:1)[mm] <=> 1-acylglycerophosphocholine (16:1)[mm] + cardiolipin (1-16:1, 2-16:1, 3-18:1, 4-18:1)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2746	"MLCL (1-16:1, 2-16:1, 4-18:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-16:1, 2-16:1, 4-18:1)[mm] + phosphatidylcholine (1-18:0, 2-18:1)[mm] <=> 1-acylglycerophosphocholine (18:0)[mm] + cardiolipin (1-16:1, 2-16:1, 3-18:1, 4-18:1)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2747	"MLCL (1-16:1, 2-16:1, 4-18:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-16:1, 2-16:1, 4-18:1)[mm] + phosphatidylcholine (1-18:1, 2-18:1)[mm] <=> 1-acylglycerophosphocholine (18:1)[mm] + cardiolipin (1-16:1, 2-16:1, 3-18:1, 4-18:1)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2748	"MLCL (1-18:0, 2-16:1, 4-16:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-18:0, 2-16:1, 4-16:1)[mm] + phosphatidylcholine (1-16:0, 2-16:1)[mm] <=> cardiolipin (1-18:0, 2-16:1, 3-16:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (16:0)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2749	"MLCL (1-18:0, 2-16:1, 4-16:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-18:0, 2-16:1, 4-16:1)[mm] + phosphatidylcholine (1-16:1, 2-16:1)[mm] <=> cardiolipin (1-18:0, 2-16:1, 3-16:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (16:1)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2750	"MLCL (1-18:0, 2-16:1, 4-16:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-18:0, 2-16:1, 4-16:1)[mm] + phosphatidylcholine (1-18:0, 2-16:1)[mm] <=> cardiolipin (1-18:0, 2-16:1, 3-16:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (18:0)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2751	"MLCL (1-18:0, 2-16:1, 4-16:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-18:0, 2-16:1, 4-16:1)[mm] + phosphatidylcholine (1-18:1, 2-16:1)[mm] <=> cardiolipin (1-18:0, 2-16:1, 3-16:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (18:1)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2752	"MLCL (1-18:0, 2-16:1, 4-16:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-18:0, 2-16:1, 4-16:1)[mm] + phosphatidylcholine (1-16:0, 2-18:1)[mm] <=> cardiolipin (1-18:0, 2-16:1, 3-18:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (16:0)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2753	"MLCL (1-18:0, 2-16:1, 4-16:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-18:0, 2-16:1, 4-16:1)[mm] + phosphatidylcholine (1-16:1, 2-18:1)[mm] <=> cardiolipin (1-18:0, 2-16:1, 3-18:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (16:1)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2754	"MLCL (1-18:0, 2-16:1, 4-16:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-18:0, 2-16:1, 4-16:1)[mm] + phosphatidylcholine (1-18:0, 2-18:1)[mm] <=> cardiolipin (1-18:0, 2-16:1, 3-18:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (18:0)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2755	"MLCL (1-18:0, 2-16:1, 4-16:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-18:0, 2-16:1, 4-16:1)[mm] + phosphatidylcholine (1-18:1, 2-18:1)[mm] <=> cardiolipin (1-18:0, 2-16:1, 3-18:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (18:1)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2756	"MLCL (1-18:0, 2-16:1, 4-18:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-18:0, 2-16:1, 4-18:1)[mm] + phosphatidylcholine (1-16:0, 2-16:1)[mm] <=> cardiolipin (1-18:0, 2-16:1, 3-16:1, 4-18:1)[mm] + 1-acylglycerophosphocholine (16:0)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2757	"MLCL (1-18:0, 2-16:1, 4-18:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-18:0, 2-16:1, 4-18:1)[mm] + phosphatidylcholine (1-16:1, 2-16:1)[mm] <=> cardiolipin (1-18:0, 2-16:1, 3-16:1, 4-18:1)[mm] + 1-acylglycerophosphocholine (16:1)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2758	"MLCL (1-18:0, 2-16:1, 4-18:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-18:0, 2-16:1, 4-18:1)[mm] + phosphatidylcholine (1-18:0, 2-16:1)[mm] <=> cardiolipin (1-18:0, 2-16:1, 3-16:1, 4-18:1)[mm] + 1-acylglycerophosphocholine (18:0)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2759	"MLCL (1-18:0, 2-16:1, 4-18:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-18:0, 2-16:1, 4-18:1)[mm] + phosphatidylcholine (1-18:1, 2-16:1)[mm] <=> cardiolipin (1-18:0, 2-16:1, 3-16:1, 4-18:1)[mm] + 1-acylglycerophosphocholine (18:1)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2760	"MLCL (1-18:0, 2-16:1, 4-18:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-18:0, 2-16:1, 4-18:1)[mm] + phosphatidylcholine (1-16:0, 2-18:1)[mm] <=> 1-acylglycerophosphocholine (16:0)[mm] + cardiolipin (1-18:0, 2-16:1, 3-18:1, 4-18:1)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2761	"MLCL (1-18:0, 2-16:1, 4-18:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-18:0, 2-16:1, 4-18:1)[mm] + phosphatidylcholine (1-16:1, 2-18:1)[mm] <=> 1-acylglycerophosphocholine (16:1)[mm] + cardiolipin (1-18:0, 2-16:1, 3-18:1, 4-18:1)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2762	"MLCL (1-18:0, 2-16:1, 4-18:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-18:0, 2-16:1, 4-18:1)[mm] + phosphatidylcholine (1-18:0, 2-18:1)[mm] <=> 1-acylglycerophosphocholine (18:0)[mm] + cardiolipin (1-18:0, 2-16:1, 3-18:1, 4-18:1)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2763	"MLCL (1-18:0, 2-16:1, 4-18:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-18:0, 2-16:1, 4-18:1)[mm] + phosphatidylcholine (1-18:1, 2-18:1)[mm] <=> 1-acylglycerophosphocholine (18:1)[mm] + cardiolipin (1-18:0, 2-16:1, 3-18:1, 4-18:1)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2764	"MLCL (1-18:1, 2-16:1, 4-16:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-18:1, 2-16:1, 4-16:1)[mm] + phosphatidylcholine (1-16:0, 2-16:1)[mm] <=> cardiolipin (1-18:1, 2-16:1, 3-16:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (16:0)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2765	"MLCL (1-18:1, 2-16:1, 4-16:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-18:1, 2-16:1, 4-16:1)[mm] + phosphatidylcholine (1-16:1, 2-16:1)[mm] <=> cardiolipin (1-18:1, 2-16:1, 3-16:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (16:1)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2766	"MLCL (1-18:1, 2-16:1, 4-16:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-18:1, 2-16:1, 4-16:1)[mm] + phosphatidylcholine (1-18:0, 2-16:1)[mm] <=> cardiolipin (1-18:1, 2-16:1, 3-16:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (18:0)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2767	"MLCL (1-18:1, 2-16:1, 4-16:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-18:1, 2-16:1, 4-16:1)[mm] + phosphatidylcholine (1-18:1, 2-16:1)[mm] <=> cardiolipin (1-18:1, 2-16:1, 3-16:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (18:1)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2768	"MLCL (1-18:1, 2-16:1, 4-16:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-18:1, 2-16:1, 4-16:1)[mm] + phosphatidylcholine (1-16:0, 2-18:1)[mm] <=> cardiolipin (1-18:1, 2-16:1, 3-18:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (16:0)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2769	"MLCL (1-18:1, 2-16:1, 4-16:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-18:1, 2-16:1, 4-16:1)[mm] + phosphatidylcholine (1-16:1, 2-18:1)[mm] <=> cardiolipin (1-18:1, 2-16:1, 3-18:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (16:1)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2770	"MLCL (1-18:1, 2-16:1, 4-16:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-18:1, 2-16:1, 4-16:1)[mm] + phosphatidylcholine (1-18:0, 2-18:1)[mm] <=> cardiolipin (1-18:1, 2-16:1, 3-18:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (18:0)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2771	"MLCL (1-18:1, 2-16:1, 4-16:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-18:1, 2-16:1, 4-16:1)[mm] + phosphatidylcholine (1-18:1, 2-18:1)[mm] <=> cardiolipin (1-18:1, 2-16:1, 3-18:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (18:1)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2772	"MLCL (1-18:1, 2-16:1, 4-18:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-18:1, 2-16:1, 4-18:1)[mm] + phosphatidylcholine (1-16:0, 2-16:1)[mm] <=> cardiolipin (1-18:1, 2-16:1, 3-16:1, 4-18:1)[mm] + 1-acylglycerophosphocholine (16:0)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2773	"MLCL (1-18:1, 2-16:1, 4-18:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-18:1, 2-16:1, 4-18:1)[mm] + phosphatidylcholine (1-16:1, 2-16:1)[mm] <=> cardiolipin (1-18:1, 2-16:1, 3-16:1, 4-18:1)[mm] + 1-acylglycerophosphocholine (16:1)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2774	"MLCL (1-18:1, 2-16:1, 4-18:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-18:1, 2-16:1, 4-18:1)[mm] + phosphatidylcholine (1-18:0, 2-16:1)[mm] <=> cardiolipin (1-18:1, 2-16:1, 3-16:1, 4-18:1)[mm] + 1-acylglycerophosphocholine (18:0)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2775	"MLCL (1-18:1, 2-16:1, 4-18:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-18:1, 2-16:1, 4-18:1)[mm] + phosphatidylcholine (1-18:1, 2-16:1)[mm] <=> cardiolipin (1-18:1, 2-16:1, 3-16:1, 4-18:1)[mm] + 1-acylglycerophosphocholine (18:1)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2776	"MLCL (1-18:1, 2-16:1, 4-18:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-18:1, 2-16:1, 4-18:1)[mm] + phosphatidylcholine (1-16:0, 2-18:1)[mm] <=> 1-acylglycerophosphocholine (16:0)[mm] + cardiolipin (1-18:1, 2-16:1, 3-18:1, 4-18:1)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2777	"MLCL (1-18:1, 2-16:1, 4-18:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-18:1, 2-16:1, 4-18:1)[mm] + phosphatidylcholine (1-16:1, 2-18:1)[mm] <=> 1-acylglycerophosphocholine (16:1)[mm] + cardiolipin (1-18:1, 2-16:1, 3-18:1, 4-18:1)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2778	"MLCL (1-18:1, 2-16:1, 4-18:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-18:1, 2-16:1, 4-18:1)[mm] + phosphatidylcholine (1-18:0, 2-18:1)[mm] <=> 1-acylglycerophosphocholine (18:0)[mm] + cardiolipin (1-18:1, 2-16:1, 3-18:1, 4-18:1)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2779	"MLCL (1-18:1, 2-16:1, 4-18:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-18:1, 2-16:1, 4-18:1)[mm] + phosphatidylcholine (1-18:1, 2-18:1)[mm] <=> 1-acylglycerophosphocholine (18:1)[mm] + cardiolipin (1-18:1, 2-16:1, 3-18:1, 4-18:1)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2780	"MLCL (1-16:0, 2-18:1, 4-16:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-16:0, 2-18:1, 4-16:1)[mm] + phosphatidylcholine (1-16:0, 2-16:1)[mm] <=> cardiolipin (1-16:0, 2-18:1, 3-16:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (16:0)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2781	"MLCL (1-16:0, 2-18:1, 4-16:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-16:0, 2-18:1, 4-16:1)[mm] + phosphatidylcholine (1-16:1, 2-16:1)[mm] <=> cardiolipin (1-16:0, 2-18:1, 3-16:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (16:1)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2782	"MLCL (1-16:0, 2-18:1, 4-16:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-16:0, 2-18:1, 4-16:1)[mm] + phosphatidylcholine (1-18:0, 2-16:1)[mm] <=> cardiolipin (1-16:0, 2-18:1, 3-16:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (18:0)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2783	"MLCL (1-16:0, 2-18:1, 4-16:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-16:0, 2-18:1, 4-16:1)[mm] + phosphatidylcholine (1-18:1, 2-16:1)[mm] <=> cardiolipin (1-16:0, 2-18:1, 3-16:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (18:1)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2784	"MLCL (1-16:0, 2-18:1, 4-16:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-16:0, 2-18:1, 4-16:1)[mm] + phosphatidylcholine (1-16:0, 2-18:1)[mm] <=> cardiolipin (1-16:0, 2-18:1, 3-18:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (16:0)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2785	"MLCL (1-16:0, 2-18:1, 4-16:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-16:0, 2-18:1, 4-16:1)[mm] + phosphatidylcholine (1-16:1, 2-18:1)[mm] <=> cardiolipin (1-16:0, 2-18:1, 3-18:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (16:1)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2786	"MLCL (1-16:0, 2-18:1, 4-16:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-16:0, 2-18:1, 4-16:1)[mm] + phosphatidylcholine (1-18:0, 2-18:1)[mm] <=> cardiolipin (1-16:0, 2-18:1, 3-18:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (18:0)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2787	"MLCL (1-16:0, 2-18:1, 4-16:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-16:0, 2-18:1, 4-16:1)[mm] + phosphatidylcholine (1-18:1, 2-18:1)[mm] <=> cardiolipin (1-16:0, 2-18:1, 3-18:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (18:1)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2788	"MLCL (1-16:0, 2-18:1, 4-18:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-16:0, 2-18:1, 4-18:1)[mm] + phosphatidylcholine (1-16:0, 2-16:1)[mm] <=> cardiolipin (1-16:0, 2-18:1, 3-16:1, 4-18:1)[mm] + 1-acylglycerophosphocholine (16:0)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2789	"MLCL (1-16:0, 2-18:1, 4-18:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-16:0, 2-18:1, 4-18:1)[mm] + phosphatidylcholine (1-16:1, 2-16:1)[mm] <=> cardiolipin (1-16:0, 2-18:1, 3-16:1, 4-18:1)[mm] + 1-acylglycerophosphocholine (16:1)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2790	"MLCL (1-16:0, 2-18:1, 4-18:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-16:0, 2-18:1, 4-18:1)[mm] + phosphatidylcholine (1-18:0, 2-16:1)[mm] <=> cardiolipin (1-16:0, 2-18:1, 3-16:1, 4-18:1)[mm] + 1-acylglycerophosphocholine (18:0)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2791	"MLCL (1-16:0, 2-18:1, 4-18:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-16:0, 2-18:1, 4-18:1)[mm] + phosphatidylcholine (1-18:1, 2-16:1)[mm] <=> cardiolipin (1-16:0, 2-18:1, 3-16:1, 4-18:1)[mm] + 1-acylglycerophosphocholine (18:1)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2792	"MLCL (1-16:0, 2-18:1, 4-18:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-16:0, 2-18:1, 4-18:1)[mm] + phosphatidylcholine (1-16:0, 2-18:1)[mm] <=> 1-acylglycerophosphocholine (16:0)[mm] + cardiolipin (1-16:0, 2-18:1, 3-18:1, 4-18:1)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2793	"MLCL (1-16:0, 2-18:1, 4-18:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-16:0, 2-18:1, 4-18:1)[mm] + phosphatidylcholine (1-16:1, 2-18:1)[mm] <=> 1-acylglycerophosphocholine (16:1)[mm] + cardiolipin (1-16:0, 2-18:1, 3-18:1, 4-18:1)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2794	"MLCL (1-16:0, 2-18:1, 4-18:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-16:0, 2-18:1, 4-18:1)[mm] + phosphatidylcholine (1-18:0, 2-18:1)[mm] <=> 1-acylglycerophosphocholine (18:0)[mm] + cardiolipin (1-16:0, 2-18:1, 3-18:1, 4-18:1)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2795	"MLCL (1-16:0, 2-18:1, 4-18:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-16:0, 2-18:1, 4-18:1)[mm] + phosphatidylcholine (1-18:1, 2-18:1)[mm] <=> 1-acylglycerophosphocholine (18:1)[mm] + cardiolipin (1-16:0, 2-18:1, 3-18:1, 4-18:1)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2796	"MLCL (1-16:1, 2-18:1, 4-16:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-16:1, 2-18:1, 4-16:1)[mm] + phosphatidylcholine (1-16:0, 2-16:1)[mm] <=> cardiolipin (1-16:1, 2-18:1, 3-16:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (16:0)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2797	"MLCL (1-16:1, 2-18:1, 4-16:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-16:1, 2-18:1, 4-16:1)[mm] + phosphatidylcholine (1-16:1, 2-16:1)[mm] <=> cardiolipin (1-16:1, 2-18:1, 3-16:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (16:1)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2798	"MLCL (1-16:1, 2-18:1, 4-16:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-16:1, 2-18:1, 4-16:1)[mm] + phosphatidylcholine (1-18:0, 2-16:1)[mm] <=> cardiolipin (1-16:1, 2-18:1, 3-16:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (18:0)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2799	"MLCL (1-16:1, 2-18:1, 4-16:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-16:1, 2-18:1, 4-16:1)[mm] + phosphatidylcholine (1-18:1, 2-16:1)[mm] <=> cardiolipin (1-16:1, 2-18:1, 3-16:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (18:1)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
r_2800	"MLCL (1-16:1, 2-18:1, 4-16:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane"	"monolysocardiolipin (1-16:1, 2-18:1, 4-16:1)[mm] + phosphatidylcholine (1-16:0, 2-18:1)[mm] <=> cardiolipin (1-16:1, 2-18:1, 3-18:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (16:0)[mm]"	YPR140W	glycerophospholipid metabolism ( sce00564 )
